investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV003054,2024-01-01,119092,SIP,1834.00,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified
INV002952,2024-01-01,148567,REDEMPTION,392882.00,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified
INV003420,2024-01-01,118636,SIP,912.00,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified
INV003436,2024-01-01,118634,SIP,1102.00,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
INV004691,2024-01-01,119094,LUMPSUM,8682.00,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
INV001497,2024-01-01,101208,SIP,3295.00,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified
INV000786,2024-01-01,101208,SIP,15047.00,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified
INV000616,2024-01-01,100016,SIP,933.00,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified
INV003670,2024-01-01,119120,SIP,10672.00,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified
INV002054,2024-01-01,148567,SIP,1111.00,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified
INV002592,2024-01-01,101208,LUMPSUM,411860.00,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified
INV001023,2024-01-01,118636,SIP,4865.00,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified
INV002893,2024-01-01,120843,SIP,8472.00,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
INV000797,2024-01-01,102885,SIP,58257.00,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified
INV000368,2024-01-01,118636,REDEMPTION,339882.00,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified
INV000548,2024-01-01,119095,SIP,1607.00,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified
INV000600,2024-01-01,149322,SIP,20890.00,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified
INV004347,2024-01-01,119599,SIP,1862.00,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified
INV000437,2024-01-01,120504,SIP,900.00,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified
INV000609,2024-01-01,120842,SIP,8493.00,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified
INV000428,2024-01-01,118636,SIP,9146.00,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified
INV003329,2024-01-01,101207,LUMPSUM,295055.00,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified
INV000968,2024-01-01,100025,LUMPSUM,497564.00,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified
INV004154,2024-01-01,102885,SIP,1897.00,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified
INV000234,2024-01-01,148567,SIP,28094.00,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified
INV002885,2024-01-01,148567,LUMPSUM,430566.00,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
INV002157,2024-01-01,102885,LUMPSUM,112928.00,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,Verified
INV001665,2024-01-01,120505,SIP,3322.00,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,Verified
INV002328,2024-01-01,120841,SIP,29901.00,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,Verified
INV004174,2024-01-01,119599,SIP,57353.00,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,Verified
INV004918,2024-01-01,120503,REDEMPTION,153828.00,Punjab,Amritsar,B30,56+,Female,46.9,UPI,Verified
INV000478,2024-01-01,120506,SIP,59382.00,Gujarat,Surat,T30,36-45,Female,16.5,UPI,Verified
INV000467,2024-01-01,119552,SIP,2623.00,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,Verified
INV000603,2024-01-01,118636,SIP,2858.00,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified
INV004770,2024-01-01,102886,LUMPSUM,92031.00,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,Verified
INV004648,2024-01-01,118634,SIP,17860.00,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending
INV002432,2024-01-01,101208,SIP,3513.00,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,Verified
INV002338,2024-01-01,120844,LUMPSUM,292991.00,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified
INV001041,2024-01-01,101208,SIP,8547.00,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified
INV001400,2024-01-01,148567,SIP,10696.00,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified
INV000852,2024-01-01,101208,SIP,15916.00,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified
